seller_id,review_count,avg_sentiment,pct_negative,avg_review_score
6806dad1da97bfb5a9038eac6881f706,5,-0.98859041929245,100.0,4.0
b39d7fe263ef469605dbb32608aee0af,6,-0.9885474244753519,100.0,3.0
f7ccf836d21b2fb1de37564105216cc1,6,-0.9868648846944174,100.0,3.6666666666666665
718539d38d07dd351c76db862760e2e2,5,-0.9852063417434692,100.0,2.6
4e8dacf3d38f281ae26c3e0321d92d88,5,-0.9841033220291138,100.0,2.0
20d83f3ef0e6925fd74bfd59170babf7,5,-0.9838619232177734,100.0,2.6
4992e76a42cb3aad7a7047e0d3d7e729,6,-0.9822089970111847,100.0,1.8333333333333333
3bfad056cf05c00dabe2f895925d83b1,5,-0.9815726280212402,100.0,1.0
1554a68530182680ad5c8b042c3ab563,9,-0.9803595609135098,100.0,4.0
537eb890efff034a88679788b647c564,8,-0.9763723984360695,100.0,2.5
e62b2d6ac10570a035a30bafcf01d263,5,-0.9760610222816467,100.0,2.6
02c988090b766852e088c69d7fb3b551,5,-0.9759459495544434,100.0,5.0
5a93f3ab0ef4c84ed5e1b5dbf23978bc,5,-0.9746132731437683,100.0,5.0
f80edd2c5aaa505cc4b0a3b219abf4b8,5,-0.9741574048995971,100.0,3.8
70125af26c2d6d4ef401a1d02ae7701f,5,-0.97369544506073,100.0,4.6
5656537e588803a555b8eb41f07a944b,16,-0.9715409390628338,100.0,2.875
96493fab2fbb13a14d0c0e8772eef5c3,6,-0.9709911445776621,100.0,3.1666666666666665
5343d0649eca2a983820bfe93fc4d17e,5,-0.9706092119216919,100.0,1.0
a17f621c590ea0fab3d5d883e1630ec6,8,-0.970333643257618,100.0,3.625
99a25c39b28a74d1151c35c18d178292,6,-0.9696158170700073,100.0,5.0
e2aee0892199b1d92530e371abd825bf,5,-0.9675241708755493,100.0,2.4
95e03ca3d4146e4011985981aeb959b9,11,-0.9670490189032122,100.0,3.5454545454545454
2e1c9f22be269ef4643f826c9e650a52,7,-0.9664267386708941,100.0,3.5714285714285716
20cb7c2fde3e5bf10f0bbe7394e1c6a9,7,-0.9658152546201434,100.0,3.0
602044f2c16190c2c6e45eb35c2e21cb,8,-0.9618460088968277,100.0,2.5
d8cf3b6a2151949f930d0252b180ec42,11,-0.9586641354994341,100.0,1.7272727272727273
1dc2de47ee26a0a5b12dc14fd6dc0dea,5,-0.9541203856468201,100.0,4.6
bbad7e518d7af88a0897397ffdca1979,11,-0.9535477540709756,100.0,1.0
244c2f1bff6afe1f2eaf9bfe9b2aed38,5,-0.952045452594757,100.0,2.8
7ad32824caee82087b3e2e5f33b1bf32,8,-0.9496520683169365,100.0,2.5
1ce3ae5a399804d1a87e706f8a813c3e,6,-0.9457798103491465,100.0,3.5
11bfa66332777660bd0640ee84d47006,5,-0.9414659142494202,100.0,1.8
6f892e20a171e98efe17fdb971ff319b,5,-0.9393654704093933,100.0,2.0
229c3efbfb0ea2058de4ccdfbc3d784a,7,-0.938005839075361,100.0,2.2857142857142856
5bc55dbe2f12b6af6d83ed46023e0dc8,5,-0.9379596471786499,100.0,1.8
cbd996ad3c1b7dc71fd0e5f5df9087e2,6,-0.933238555987676,100.0,3.0
70a12e78e608ac31179aea7f8422044b,14,-0.9319360724517277,100.0,3.2857142857142856
fffd5413c0700ac820c7069d66d98c89,6,-0.9318779905637106,100.0,1.6666666666666667
0bae85eb84b9fb3bd773911e89288d54,9,-0.925977263185713,100.0,3.6666666666666665
dfa0c4c6229ab200a4a1336b4d7128ff,6,-0.9243836502234141,100.0,4.166666666666667
6d66611d7c44cc30ce351abc49a68421,7,-0.9232898354530334,100.0,3.142857142857143
48162d548f5b1b11b9d29d1e01f75a61,7,-0.9209325398717608,100.0,2.7142857142857144
af4a0e4cfe1d9c26b6712b1be25a72e5,5,-0.9198248386383057,100.0,2.6
974cf2cb8f4b7add98709c30df02fe10,5,-0.9193381071090698,100.0,4.6
d98eec89afa3380e14463da2aabaea72,8,-0.914168655872345,100.0,3.125
5a8e7d5003a1f221f9e1d6e411de7c23,9,-0.9032933447096083,100.0,3.2222222222222223
dd7ddc04e1b6c2c614352b383efe2d36,7,-0.9030284370694842,100.0,1.2857142857142858
7040e82f899a04d1b434b795a43b4617,10,-0.9017418801784516,100.0,2.7
00fc707aaaad2d31347cf883cd2dfe10,13,-0.8977201856099642,100.0,3.5384615384615383
70c27847eca8195c983ed7e798c56743,5,-0.8869488596916199,100.0,2.2
7c67e1448b00f6e969d365cea6b010ab,81,-0.8866244510368064,96.29629629629629,2.691358024691358
6a51fc556dab5f766ced6fbc860bc613,6,-0.8864818215370178,100.0,3.6666666666666665
94144541854e298c2d976cb893b81343,5,-0.8823767900466919,100.0,4.0
0bf0150d5b9d60d9cd2906003332f085,7,-0.8818913613046918,100.0,1.8571428571428572
f3b80352b986ab4d1057a4b724be19d0,5,-0.870296573638916,100.0,3.4
4d6d651bd7684af3fffabd5f08d12e5a,17,-0.8556070923805237,94.11764705882352,3.5294117647058822
5dceca129747e92ff8ef7a997dc4f8ca,19,-0.849190072009438,94.73684210526315,3.526315789473684
8a32e327fe2c1b3511609d81aaf9f042,14,-0.8460700809955597,92.85714285714286,3.857142857142857
d6b1ce66b035a475f00c017792ff9769,5,-0.8352342009544372,100.0,4.2
98dac6635aee4995d501a3972e047414,13,-0.833532099540417,92.3076923076923,3.923076923076923
c33847515fa6305ce6feb1e818569f13,8,-0.8263967335224152,100.0,3.5
7d76b645482be4a332374e8223836592,13,-0.8172995769060575,92.3076923076923,3.5384615384615383
88460e8ebdecbfecb5f9601833981930,13,-0.8115562338095444,92.3076923076923,2.3076923076923075
b76dba6c951ab00dc4edf0a1aa88037e,8,-0.8114288300275803,100.0,4.25
4e922959ae960d389249c378d1c939f5,21,-0.807553802217756,90.47619047619048,2.9047619047619047
9674754b5a0cb32b638cec001178f799,8,-0.8016439974308014,87.5,4.5
ce27a3cc3c8cc1ea79d11e561e9bebb6,10,-0.792915141582489,90.0,3.2
17ca9b9e9b9ef8fdb529001b49ebb50f,12,-0.7872503449519476,91.66666666666666,2.9166666666666665
813348c996469b40f2e028d5429d3495,11,-0.7835856730287726,90.9090909090909,3.1818181818181817
9c0e69c7bf2619675bbadf47b43f655a,14,-0.7787422367504665,92.85714285714286,3.0714285714285716
41b39e28db005d9731d9d485a83b4c38,13,-0.7761529500667865,92.3076923076923,4.153846153846154
1ca7077d890b907f89be8c954a02686a,9,-0.7711287538210551,88.88888888888889,1.5555555555555556
91f848e9f4be368f4318775aac733370,11,-0.7608637484637174,90.9090909090909,4.181818181818182
e26901d5ab434ce92fd9b5c256820a4e,10,-0.7584291577339173,90.0,4.4
83e197e95a1bbabc8c75e883ed016c47,9,-0.7554351819886101,88.88888888888889,4.555555555555555
5c243662ce92d84573bfaff24c3e3700,9,-0.7463289035691155,88.88888888888889,3.5555555555555554
04308b1ee57b6625f47df1d56f00eedf,8,-0.7461537048220634,87.5,3.625
c826c40d7b19f62a09e2d7c5e7295ee2,19,-0.7442002265076888,89.47368421052632,3.3684210526315788
59fb871bf6f4522a87ba567b42dafecf,10,-0.7438348591327667,90.0,4.3
f45122a9ab94eb4f3f8953578bc0c560,12,-0.7399683097998301,91.66666666666666,3.75
8160255418d5aaa7dbdc9f4c64ebda44,31,-0.7326580266798696,87.09677419354838,3.064516129032258
95f83f51203c626648c875dd41874c7f,7,-0.7319579294749669,85.71428571428571,3.142857142857143
609e1a9a6c2539919b8205cf7c4e6ff0,9,-0.731340659989251,88.88888888888889,3.888888888888889
0691148aee60ca47977c187804f935ae,6,-0.730149656534195,83.33333333333334,2.8333333333333335
391fc6631aebcf3004804e51b40bcf1e,30,-0.7289927244186402,86.66666666666667,3.2666666666666666
85d9eb9ddc5d00ca9336a2219c97bb13,17,-0.7226712282966165,88.23529411764706,3.8823529411764706
688756f717c462a206ad854c5027a64a,7,-0.7216254046985081,85.71428571428571,2.7142857142857144
30a2f535bb48308f991d0b9ad4a8c4bb,8,-0.7205670773983002,87.5,3.25
a49928bcdf77c55c6d6e05e09a9b4ca5,7,-0.7070486375263759,85.71428571428571,2.7142857142857144
a3e9a2c700480d9bb01fba070ba80a0e,8,-0.7061006799340248,87.5,4.875
3c7c4a49ec3c6550809089c6a2ca9370,14,-0.703549712896347,85.71428571428571,2.7142857142857144
001cca7ae9ae17fb1caed9dfb1094831,15,-0.6985230922698975,86.66666666666667,4.0
c9c7905cffc4ef9ff9f113554423e671,7,-0.6981758049556187,85.71428571428571,4.142857142857143
3be634553519fb6536a03e1358e9fdc7,7,-0.6957522630691528,85.71428571428571,2.7142857142857144
e9d99831abad74458942f21e16f33f92,8,-0.6911516040563583,87.5,3.75
e5a3438891c0bfdb9394643f95273d8e,12,-0.6885561794042587,83.33333333333334,3.6666666666666665
66922902710d126a0e7d26b0e3805106,7,-0.6827756336757115,85.71428571428571,4.428571428571429
897060da8b9a21f655304d50fd935913,21,-0.680996801171984,85.71428571428571,3.8095238095238093
fa1a9dec3a9940c072684a46728bf1fc,11,-0.6796859502792358,90.9090909090909,3.4545454545454546
dbb9b48c841a0e39e21f98e1a6b2ec3e,7,-0.6796223776681083,85.71428571428571,3.0
6973a06f484aacf400ece213dbf3d946,7,-0.6789741260664803,85.71428571428571,3.142857142857143
c31eff8334d6b3047ed34bebd4d62c36,7,-0.6787830335753304,85.71428571428571,3.0
3b15288545f8928d3e65a8f949a28291,6,-0.6772598326206207,83.33333333333334,4.333333333333333
522620dcb18a6b31cd7bdf73665113a9,9,-0.6746074159940084,88.88888888888889,2.4444444444444446
f680f85bee2d253556ac91be391d2c82,8,-0.6732738837599754,87.5,3.25
46dc3b2cc0980fb8ec44634e21d2718e,15,-0.6720884164174398,86.66666666666667,3.533333333333333
0adac9fbd9a2b63cccaac4f8756c1ca8,7,-0.6694028973579407,85.71428571428571,4.0
8e6d7754bc7e0f22c96d255ebda59eba,16,-0.6692830175161362,87.5,1.3125
f262cbc1c910c83959f849465454ddd3,7,-0.6664107697350639,85.71428571428571,2.4285714285714284
37515688008a7a40ac93e3b2e4ab203f,7,-0.6615352290017265,85.71428571428571,4.714285714285714
8f2ce03f928b567e3d56181ae20ae952,11,-0.6612522331151095,90.9090909090909,3.090909090909091
2eb70248d66e0e3ef83659f71b244378,21,-0.6594085068929763,85.71428571428571,2.8095238095238093
ce616e1913288884e7742faac9d981db,6,-0.6587043305238088,83.33333333333334,5.0
86ccac0b835037332a596a33b6949ee1,8,-0.6580209657549858,87.5,4.25
25c5c91f63607446a97b143d2d535d31,21,-0.6578938620431083,85.71428571428571,4.095238095238095
48436dade18ac8b2bce089ec2a041202,6,-0.6507983009020487,83.33333333333334,3.3333333333333335
f5a590cf36251cf1162ea35bef76fe84,9,-0.6498010953267416,88.88888888888889,3.2222222222222223
7008613ea464bad5cb9b83456e1e6a8f,13,-0.6489512645281278,84.61538461538461,3.6153846153846154
01fdefa7697d26ad920e9e0346d4bd1b,6,-0.6485336422920227,83.33333333333334,4.333333333333333
4371b634e0efc0e22b09b52907d9d469,6,-0.6481662293275198,83.33333333333334,4.333333333333333
0dd184061fb0eaa7ca37932c68ab91c5,7,-0.6481639231954303,85.71428571428571,2.4285714285714284
59b22a78efb79a4797979612b885db36,11,-0.6465036869049072,81.81818181818183,3.1818181818181817
213b25e6f54661939f11710a6fddb871,13,-0.6458527950140146,84.61538461538461,2.769230769230769
1a3df491d1c4f1589fc2b934ada68bf2,7,-0.6431751080921718,85.71428571428571,3.4285714285714284
a7f13822ceb966b076af67121f87b063,6,-0.6406132380167643,83.33333333333334,3.1666666666666665
dc4a0fc896dc34b0d5bfec8438291c80,25,-0.6394418931007385,84.0,2.96
f7720c4fa8e3aba4546301ab80ea1f1b,7,-0.6382503509521484,85.71428571428571,3.857142857142857
6cd68b3ed6d59aaa9fece558ad360c0a,8,-0.6382446959614754,87.5,4.875
951e8cef368f09bb3f3d03c00ca4702c,6,-0.6382270256678263,83.33333333333334,3.8333333333333335
d20b021d3efdf267a402c402a48ea64b,6,-0.6376541753609976,83.33333333333334,3.0
1336efc61c316ddf92c899eb817f7cae,5,-0.6364590167999268,80.0,2.2
710e3548e02bc1d2831dfc4f1b5b14d4,6,-0.6358135044574738,83.33333333333334,2.6666666666666665
a3a38f4affed601eb87a97788c949667,13,-0.6355675871555622,84.61538461538461,4.076923076923077
f457c46070d02cadd8a68551231220dd,11,-0.6344444047320973,81.81818181818183,2.6363636363636362
18a349e75d307f4b4cc646a691ed4216,11,-0.6312341852621599,81.81818181818183,2.8181818181818183
827f8f69dfa529c561901c4f2e0f332f,11,-0.6247965151613409,81.81818181818183,3.4545454545454546
da8622b14eb17ae2831f4ac5b9dab84a,81,-0.6210796509260013,83.9506172839506,3.5555555555555554
06a2c3af7b3aee5d69171b0e14f0ee87,23,-0.6180633461993673,82.6086956521739,3.6956521739130435
d91fb3b7d041e83b64a00a3edfb37e4f,35,-0.6176480412483215,82.85714285714286,3.4857142857142858
5f1dc28029d2c244352a68107ec2b542,5,-0.6120482087135315,80.0,4.8
b2479f944e1b90cf8a5de1bbfde284d6,11,-0.6096468622034247,81.81818181818183,1.7272727272727273
4c2b230173bb36f9b240f2b8ac11786e,24,-0.608052596449852,83.33333333333334,3.3333333333333335
54a1852d1b8f10312c55e906355666ee,14,-0.6059198081493378,85.71428571428571,4.214285714285714
fc906263ca5083d09dce42fe02247800,13,-0.605837303858537,84.61538461538461,4.384615384615385
8b28d096634035667e8263d57ba3368c,12,-0.6034807860851288,83.33333333333334,3.6666666666666665
520b493b57809f446cb0a233bb3e25c7,5,-0.6022925972938538,80.0,3.4
fa40cc5b934574b62717c68f3d678b6d,12,-0.600528359413147,83.33333333333334,4.166666666666667
2a1348e9addc1af5aaa619b1a3679d6b,5,-0.5994334697723389,80.0,1.8
d673a59aac7a70d8b01e6902bf090a11,7,-0.5985907401357379,85.71428571428571,3.2857142857142856
8444e55c1f13cd5c179851e5ca5ebd00,6,-0.5982181032498678,83.33333333333334,4.333333333333333
